"time","timeDate","close","high","low","open","volumefrom","volumeto"
1540796400000,"2018-10-29",203.57,203.7,203.54,203.7,3198.06,651247.78
1540800000000,"2018-10-29",203.42,203.63,203.31,203.56,3332.25,679331.81
1540803600000,"2018-10-29",203.38,203.55,203.32,203.42,5749.89,1167199.38
1540807200000,"2018-10-29",203.61,203.69,203.37,203.38,4941.68,1005326.52
1540810800000,"2018-10-29",202.35,203.66,200.53,203.6,74368.06,15025665.68
1540814400000,"2018-10-29",196.19,202.35,193.94,202.35,104835.38,20642231
1540818000000,"2018-10-29",197.03,197.97,196.13,196.19,27683.41,5445304.45
1540821600000,"2018-10-29",196.64,197.12,196.53,197,14916,2925084.19
1540825200000,"2018-10-29",197.19,197.2,196.62,196.66,8055.91,1587380
1540828800000,"2018-10-29",196.34,197.2,196.02,197.19,16989.87,3337140.48
1540832400000,"2018-10-30",195.8,196.33,195.77,196.33,14207.56,2783090.77
1540836000000,"2018-10-30",196.07,196.13,195.73,195.8,7664.58,1497285.99
1540839600000,"2018-10-30",195.16,196.1,194.65,196.08,20179.12,3928499.03
1540843200000,"2018-10-30",194.81,195.53,194.49,195.16,18426.36,3568748.01
1540846800000,"2018-10-30",194.8,195.08,194.39,194.81,12520.95,2429147.45
1540850400000,"2018-10-30",195.99,196.01,194.8,194.8,7572.13,1476779.64
1540854000000,"2018-10-30",195.67,195.99,195.62,195.99,4038.36,789130.47
1540857600000,"2018-10-30",195.76,196.06,195.66,195.67,7426.05,1454379.77
1540861200000,"2018-10-30",195.53,195.77,195.32,195.76,5909.63,1157329.15
1540864800000,"2018-10-30",195.92,196.05,195.5,195.53,5436.5,1063612.16
1540868400000,"2018-10-30",195.99,196.54,195.83,195.87,6500.61,1274340.08
1540872000000,"2018-10-30",196.66,196.66,195.98,195.99,5877.3,1150761.61
1540875600000,"2018-10-30",196.23,196.72,196.1,196.66,8845.51,1735003.26
1540879200000,"2018-10-30",196.69,196.79,196.23,196.23,26586.97,5195164.89
1540882800000,"2018-10-30",196.37,197.17,196.18,196.7,22576.36,4441678.07
1540886400000,"2018-10-30",195.93,196.4,195.78,196.37,10407.39,2042890.46
1540890000000,"2018-10-30",195.88,196.09,195.84,195.93,9293.46,1817704.34
1540893600000,"2018-10-30",195.93,196.13,195.83,195.89,6568.09,1281879.67
1540897200000,"2018-10-30",196.07,196.21,195.39,195.93,12744.64,2490927.54
1540900800000,"2018-10-30",196.08,196.32,195.78,196.07,9579.38,1877884.14
1540904400000,"2018-10-30",196.33,196.42,195.98,196.08,7599.58,1490235.6
1540908000000,"2018-10-30",196.05,196.4,195.91,196.33,7147.27,1398365.79
1540911600000,"2018-10-30",196.02,196.06,195.82,196.05,8965.66,1753173.38
1540915200000,"2018-10-30",195.56,196.08,195.48,196.06,12717.55,2488419.24
1540918800000,"2018-10-31",195.55,195.7,195.45,195.56,6845.68,1337938.53
1540922400000,"2018-10-31",194.8,195.58,194.2,195.55,27568.22,5346071.17
1540926000000,"2018-10-31",194.57,194.94,194.44,194.8,10309.84,2003605.76
1540929600000,"2018-10-31",195.57,195.59,194.5,194.57,15410.35,2999531.23
1540933200000,"2018-10-31",195.38,195.61,195.26,195.57,13380.13,2611173.05
1540936800000,"2018-10-31",196.18,197.11,195.36,195.38,18917.33,3711052.41
1540940400000,"2018-10-31",196.19,196.91,196.14,196.18,10765.19,2114565.94
1540944000000,"2018-10-31",196.32,196.42,195.84,196.22,6702.92,1312094.96
1540947600000,"2018-10-31",196.24,196.43,195.97,196.32,8925.81,1749281.59
1540951200000,"2018-10-31",196.19,196.25,195.99,196.24,6610.73,1294865.77
1540954800000,"2018-10-31",196.03,196.24,196.03,196.19,6751.32,1321209.56
1540958400000,"2018-10-31",196.08,196.16,195.94,196.03,4926.17,964045.38
1540962000000,"2018-10-31",196.01,196.09,195.94,196.08,10303.54,2016322.16
1540965600000,"2018-10-31",195.46,196.04,195.46,196.01,5960.92,1167914.06
1540969200000,"2018-10-31",195.3,195.49,195.17,195.46,6859.42,1343028.79
1540972800000,"2018-10-31",195.44,195.57,195.12,195.3,7927.8,1550904.53
